=== Episode: 10x10_karmasik_ep0 (D3QN) ===
Start: (5, 3) | Goal: (1, 3)
Step  | Robot      | Action     | Mode    | Reward  | Total   | Dyn Obs Positions
-----------------------------------------------------------------------------------------------
1     | (5, 2)     | (0, -1)    | D3QN    | 57.28   | 57.28   | (4, 4), (5, 6)
2     | (4, 2)     | (-1, 0)    | A*      | 18.22   | 75.50   | (4, 4), (5, 6)
3     | (3, 3)     | (-1, 1)    | A*      | 22.25   | 97.75   | (3, 4), (5, 5)
4     | (4, 2)     | (1, -1)    | D3QN    | -24.25  | 73.50   | (2, 4), (5, 5)
5     | (3, 3)     | (-1, 1)    | A*      | 22.25   | 95.75   | (1, 4), (5, 6)
6     | (4, 2)     | (1, -1)    | D3QN    | -24.25  | 71.50   | (1, 4), (5, 6)
7     | (3, 3)     | (-1, 1)    | A*      | 22.25   | 93.75   | (2, 4), (5, 5)
8     | (4, 2)     | (1, -1)    | D3QN    | -24.25  | 69.50   | (3, 4), (5, 5)
9     | (3, 3)     | (-1, 1)    | A*      | 22.25   | 91.75   | (4, 4), (5, 6)
10    | (4, 2)     | (1, -1)    | D3QN    | -24.25  | 67.50   | (4, 4), (5, 6)
11    | (3, 3)     | (-1, 1)    | A*      | 22.25   | 89.75   | (3, 4), (5, 5)
12    | (4, 2)     | (1, -1)    | D3QN    | -24.25  | 65.50   | (2, 4), (5, 5)
13    | (3, 3)     | (-1, 1)    | A*      | 22.25   | 87.75   | (1, 4), (5, 6)
14    | (4, 2)     | (1, -1)    | D3QN    | -24.25  | 63.50   | (1, 4), (5, 6)
15    | (3, 3)     | (-1, 1)    | A*      | 22.25   | 85.75   | (2, 4), (5, 5)
16    | (4, 2)     | (1, -1)    | D3QN    | -24.25  | 61.50   | (3, 4), (5, 5)
17    | (3, 3)     | (-1, 1)    | A*      | 22.25   | 83.75   | (4, 4), (5, 6)
18    | (4, 2)     | (1, -1)    | D3QN    | -24.25  | 59.50   | (4, 4), (5, 6)
19    | (3, 3)     | (-1, 1)    | A*      | 22.25   | 81.75   | (3, 4), (5, 5)
20    | (4, 2)     | (1, -1)    | D3QN    | -24.25  | 57.50   | (2, 4), (5, 5)
21    | (3, 3)     | (-1, 1)    | A*      | 22.25   | 79.75   | (1, 4), (5, 6)
22    | (4, 2)     | (1, -1)    | D3QN    | -24.25  | 55.50   | (1, 4), (5, 6)
23    | (3, 3)     | (-1, 1)    | A*      | 22.25   | 77.75   | (2, 4), (5, 5)
24    | (4, 2)     | (1, -1)    | D3QN    | -24.25  | 53.50   | (3, 4), (5, 5)
25    | (3, 3)     | (-1, 1)    | A*      | 22.25   | 75.75   | (4, 4), (5, 6)
26    | (4, 2)     | (1, -1)    | D3QN    | -24.25  | 51.50   | (4, 4), (5, 6)
27    | (3, 3)     | (-1, 1)    | A*      | 22.25   | 73.75   | (3, 4), (5, 5)
28    | (4, 2)     | (1, -1)    | D3QN    | -24.25  | 49.50   | (2, 4), (5, 5)
29    | (3, 3)     | (-1, 1)    | A*      | 22.25   | 71.75   | (1, 4), (5, 6)
30    | (4, 2)     | (1, -1)    | D3QN    | -24.25  | 47.50   | (1, 4), (5, 6)
31    | (3, 3)     | (-1, 1)    | A*      | 22.25   | 69.75   | (2, 4), (5, 5)
32    | (4, 2)     | (1, -1)    | D3QN    | -24.25  | 45.50   | (3, 4), (5, 5)
33    | (3, 3)     | (-1, 1)    | A*      | 22.25   | 67.75   | (4, 4), (5, 6)
34    | (4, 2)     | (1, -1)    | D3QN    | -24.25  | 43.50   | (4, 4), (5, 6)
35    | (3, 3)     | (-1, 1)    | A*      | 22.25   | 65.75   | (3, 4), (5, 5)
36    | (4, 2)     | (1, -1)    | D3QN    | -24.25  | 41.50   | (2, 4), (5, 5)
37    | (3, 3)     | (-1, 1)    | A*      | 22.25   | 63.75   | (1, 4), (5, 6)
38    | (4, 2)     | (1, -1)    | D3QN    | -24.25  | 39.50   | (1, 4), (5, 6)
39    | (3, 3)     | (-1, 1)    | A*      | 22.25   | 61.75   | (2, 4), (5, 5)
40    | (4, 2)     | (1, -1)    | D3QN    | -24.25  | 37.50   | (3, 4), (5, 5)
41    | (3, 3)     | (-1, 1)    | A*      | 22.25   | 59.75   | (4, 4), (5, 6)
42    | (4, 2)     | (1, -1)    | D3QN    | -24.25  | 35.50   | (4, 4), (5, 6)
43    | (3, 3)     | (-1, 1)    | A*      | 22.25   | 57.75   | (3, 4), (5, 5)
44    | (4, 2)     | (1, -1)    | D3QN    | -24.25  | 33.50   | (2, 4), (5, 5)
45    | (3, 3)     | (-1, 1)    | A*      | 22.25   | 55.75   | (1, 4), (5, 6)
46    | (4, 2)     | (1, -1)    | D3QN    | -24.25  | 31.50   | (1, 4), (5, 6)
47    | (3, 3)     | (-1, 1)    | A*      | 22.25   | 53.75   | (2, 4), (5, 5)
48    | (4, 2)     | (1, -1)    | D3QN    | -24.25  | 29.50   | (3, 4), (5, 5)
49    | (3, 3)     | (-1, 1)    | A*      | 22.25   | 51.75   | (4, 4), (5, 6)
50    | (4, 2)     | (1, -1)    | D3QN    | -24.25  | 27.50   | (4, 4), (5, 6)
51    | (3, 3)     | (-1, 1)    | A*      | 22.25   | 49.75   | (3, 4), (5, 5)
52    | (4, 2)     | (1, -1)    | D3QN    | -24.25  | 25.50   | (2, 4), (5, 5)
53    | (3, 3)     | (-1, 1)    | A*      | 22.25   | 47.75   | (1, 4), (5, 6)
54    | (4, 2)     | (1, -1)    | D3QN    | -24.25  | 23.50   | (1, 4), (5, 6)
55    | (3, 3)     | (-1, 1)    | A*      | 22.25   | 45.75   | (2, 4), (5, 5)
56    | (4, 2)     | (1, -1)    | D3QN    | -24.25  | 21.50   | (3, 4), (5, 5)
57    | (3, 3)     | (-1, 1)    | A*      | 22.25   | 43.75   | (4, 4), (5, 6)
58    | (4, 2)     | (1, -1)    | D3QN    | -24.25  | 19.50   | (4, 4), (5, 6)
59    | (3, 3)     | (-1, 1)    | A*      | 22.25   | 41.75   | (3, 4), (5, 5)
60    | (4, 2)     | (1, -1)    | D3QN    | -24.25  | 17.50   | (2, 4), (5, 5)
61    | (3, 3)     | (-1, 1)    | A*      | 22.25   | 39.75   | (1, 4), (5, 6)
